Updated: 03/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greyed out if the CES parts have been amended out and there's nothing to see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB-2327,Committee on Environmental Safety and Toxic Materials.,2/16/2022,Enacted,,9/6/2022,Carpenter-Presley-Tanner Hazardous Substance Account Act: conforming revisions.,Waste: hazardous,"A concurrent resolution adopted by the Legislature requests the commission to recommend revisions to the Carpenter-Presley-Tanner Hazardous Substance Account Act to improve the organization and expression of law. Pursuant to this request, the commission has made recommendations for the recodification of that act.
This bill would make conforming changes to provisions of law that references the act or provisions in the act. The bill would become operative on January 1, 2024, if the act providing for the recodification of the Carpenter-Presley-Tanner Hazardous Substance Account Act becomes operative on January 1, 2024.",Section 25135 of the Health and Safety Code is amended,"2) Information regarding hazardous waste facilities that operate in the state, including all of the following:
...
(B) An analysis of the location of each destination facility, including an assessment of the area in which the destination facility is located. For destination facilities located in the state, this analysis shall include zoning and other geographic information and the CalEnviroScreen score, and may include information from national environmental health screening tools. For destination facilities located in other states, the analysis shall include a similar assessment of the environmental conditions or vulnerability to environmental pollutants of the population surrounding each destination facility, to the extent data are available.
(C) An analysis of the transportation of hazardous waste generated in the state, including information on the distance between the destination facilities and the generators that are sending hazardous waste to those destination facilities, the transportation options available to transport hazardous wastes to each destination facility, and the cost for transportation to each destination facility, including a calculated estimate of cost per mile traveled.",CES,Requires CES to be used in analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This revises the same code including CES as in SB-158
SB-942,Newman,2/8/2022,Enacted,,9/30/2022,Low Carbon Transit Operations Program: free or reduced fare transit program.,Transportation: transit,"This bill would exempt a transit agency using program moneys for the continuation of a free or reduced fare transit program from the requirement of putting funds in CARB or DOT operations to demonstrate that reductions in the emissions of greenhouse gases can be realized through the continuation of its transit program, and authorize the transit agency to continue to use those moneys for that purpose without any restriction to length of time. The bill would require the transit agency to submit an initial allocation request to the department and, for the next three fiscal years, to provide documentation necessary to meet an annual reporting requirement and comply with the program’s requirements.
Because this bill would expand the number of transit agencies eligible to receive an allocation of the funds continuously appropriated pursuant to the program, the bill would make an appropriation.",Section 75230 of the Public Resources Code is amended,"For a recipient transit agency whose service area includes disadvantaged communities, as identified pursuant to Section 39711 of the Health and Safety Code, at least 50 percent of the total moneys received pursuant to this chapter shall be expended on projects or services that meet the requirements of subdivisions (d), (e), and (f) and benefit the disadvantaged communities, as identified consistent with the guidance developed by the State Air Resources Board pursuant to Section 39715 of the Health and Safety Code.
(2) The requirement of paragraph (1) is waived if the recipient transit agency expends the funding provided pursuant to this section on any of the following:
(A) New or expanded transit service that connects with transit service serving disadvantaged communities, as identified pursuant to Section 39711 of, or in low-income communities, as defined in paragraph (2) of subdivision (d) of Section 39713 of, the Health and Safety Code... (t) The Department of Transportation and recipient transit agencies shall comply with the guidelines developed by the State Air Resources Board pursuant to Section 39715 of the Health and Safety Code to ensure that the requirements of Section 39713 of the Health and Safety Code are met to maximize the benefits to disadvantaged communities, as identified pursuant to Section 39711 of the Health and Safety Code.",HSC,"Funding prioritization, Program prioritization",Section 75230 of the Public Resources Code is amended,"(2) The requirement of paragraph (1) is waived if the recipient transit agency expends the funding provided pursuant to this section on any of the following:
(A) New or expanded transit service that connects with transit service serving disadvantaged communities, as identified pursuant to Section 39711 of, or in low-income communities, as defined in paragraph (2) of subdivision (d) of Section 39713 of, the Health and Safety Code.",HSC,Funding prioritization,,,,,,,,,,,,,,,,,,,,,,,,,,"Amending the Low Carbon Transit Operations program which provides operating and capital assistance for transit agencies to reduce the emissions of greenhouse gases and improve mobility, with a priority on serving disadvantaged communities, with a requirement that transit agencies servicing areas including disadvantaged communities allocate at least 50% of total moneys to benefit disadvantaged communities. It provides exceptions from existing laws around reporting and money usage, allowing transit agencies to use program money from the Low Carbon Transit Operations program to operate free or reduced fare programs "
AB 976,Rivas,2/18/2021,Filed,filed with Chief Clerk,2/1/2022,Resilient Economies and Community Health Pilot Program,Community development grants,"bill would establish the Resilient Economies and Community Health Pilot Program, which would be administered by the council from January 1, 2022, through December 31, 2026, as a grant pilot program for eligible community-based organizations, as defined, to provide a comprehensive suite of coordinated incentives and services to disadvantaged communities, as defined, at the resident household level to provide economic savings, reduce greenhouse gas emissions and air pollution, and improve resiliency to the impacts of climate change. The bill would require the council to evaluate the program and submit specified reports to the Legislature on the program no later than January 1, 2026. The bill would repeal these provisions as of January 1, 2027.",section 75252 is added to public resources code,"(b) When awarding grants, the council shall give priority to plans and projects that cover areas that have a high proportion of census tracts identified as disadvantaged communities and that focus on communities that are the most disadvantaged. The council shall administer the grant program as a pilot program with a preference for awards in regions identified in the 91 to 100, inclusive, percentiles of CalEnviroScreen.",CES,"Funding prioritization, Program prioritization",section 75250 of public resources code added,"(a) “CalEnviroScreen” means the California Communities Environmental Health Screening Tool developed by the Office of Environmental Health Hazard Assessment.
...
(d) “Disadvantaged community” is a community identified pursuant to Section 39711 of the Health and Safety Code.",CES and HSC,Defining a community,section 75252 of public resources code added,"(c) The council shall develop guidelines to administer the outREACH Program that include, at a minimum, all of the following:
...
(2) Maximization of community-based outreach and resident household eligibility review to disadvantaged communities using a network of community-based organizations that have demonstrated neighborhood, city, or county-level ties to the local community in which they serve....
(5) Prioritization of disadvantaged communities that have the highest pollution burden and highest poverty rates.",HSC by proxy,Program prioritization,added section 75254 of public resources code,"75254. (a) No later than January 1, 2026, the council shall evaluate the outREACH Program and report to the Legislature on all of the following:
(1) The impact of reducing greenhouse gas emissions and other cobenefits in disadvantaged communities, including the cost-effectiveness and efficiency of different outREACH Program outreach methodologies and strategies.
...
(3) The best model for maximizing low-income and disadvantaged community participation in the outREACH Program while maximizing the requirements of Section 75252, to the extent feasible.",HSC by proxy,Program goals,,,,,,,,,,,,,,,,,,created a program for community based orgs to apply for and use grant funding to reach the top 91-100 percentile tracts in CES for a suite of climate resilience projects
SB-617,"Introduced by Senator Wiener
(Principal coauthor: Assembly Member Chiu)
(Coauthors: Senators Becker, Newman, and Stern)
(Coauthor: Assembly Member Robert Rivas)",2/18/2021,Suspended,placed on suspense file in Senate,5/17/2021,Residential solar energy systems: permitting.,Energy,"This bill would require every city and county to implement an online, automated permitting platform that verifies code compliance and instantaneously issues permits for a solar energy system that is no larger than 38.4 kilowatts... The bill would require the Energy Commission, upon provision of sufficient funding, to provide technical assistance and grant funding to cities and counties in order to support the above-described requirements",Section 65850.52 is added to the Government Code,"(2) The Energy Commission shall prioritize processing grant applications from local jurisdictions serving low-income communities, disadvantaged communities as defined by the California Communities Environmental Health Screening Tool, also known as CalEnviroScreen 3.0, or those containing high fire-threat districts as defined in subdivision (h) of Section 3280 of the Public Utilities Code.",CES,"Funding prioritization, Program prioritization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bill to have city and counties implement automated, instantaneous permitting system for solar energy, as well as have the Energy Commission provide technical assistance and grant funding, which the energy commission should prioritize grant applications from jurisdictions serving DACs"
SB-67,Becker,12/7/2020,Returned to Secretary,Returned to Secretary of Senate pursuant to Joint Rule 56.,2/1/2022,Clean energy: California 24/7 Clean Energy Standard Program,Energy,"This bill would revise that policy to establish a goal that 100% of electrical load be supplied by eligible clean energy resources, as defined. The bill would establish the California 24/7 Clean Energy Standard Program, which would require that 85% of retail load, as defined, annually and at least 60% of retail load within certain subperiods by December 31, 2030, and 90% of retail load annually and at least 75% of retail load within certain subperiods by December 31, 2035, be supplied by eligible clean energy resources, as defined.",Section 399.11 of the Public Utilities Code is amended to read:,"(e) (1) Supplying electricity to California end-use customers that is generated by eligible clean energy resources is necessary to improve California’s air quality and public health, particularly in disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code, and the commission shall ensure rates are just and reasonable, and are not significantly affected by the procurement requirements of this article. This electricity may be generated anywhere in the interconnected grid that includes many states, and areas of both Canada and Mexico",HSC,Used as data in support of writing the bill,Section 399.33 of the Public Utilities Code is amended to read:,"399.33. (a) This section shall only apply to a gas-fired powerplant that is located inside the state, is owned by and serves the electrical demands of a single local publicly owned electric utility, and meets all of the following conditions:
...
(4) The powerplant is not located in a disadvantaged community. For purposes of this paragraph, “disadvantaged community” means a census tract that, pursuant to Section 39711 of the Health and Safety Code, has received a score on the California Communities Environmental Health Screening 3.0, also known as CalEnviroScreen 3.0, in the 81st to 100th percentile, inclusive.",CES and HSC,"Defining a community, Program eligibility",Amended Section 454.52 of Public Utilities Code,"454.52. (a) (1) Beginning in 2017, and to be updated regularly thereafter, the commission shall adopt a process for each load-serving entity, as defined in Section 380, to file an integrated resource plan, and a schedule for periodic updates to the plan, and shall ensure that load-serving entities do the following:
...
(I) Minimize localized air pollutants and other greenhouse gas emissions, with early priority on disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code.",HSC,"Mitigation, Program prioritization",,,,,,,,,,,,,,,,,,,,,,"Long proposed bill with many provisions, but ultimately only allows flexibility for locally owned power plants that are not in DACs and meet other requirements (unique cases), and requires the Energy Commissions to require emitters to adopt integrated research plans to minimize air pollutants in DACs"
SB-1039,Wieckowski,2/15/2022,Referred,Referred to Com. on RLS.,2/23/2022,Clean energy and pollution reduction objectives.,Energy,"Existing law requires the Public Utilities Commission and the State Energy Resources Conservation and Development Commission to undertake certain actions in furtherance of meeting the state’s clean energy and pollution reduction objectives.
This bill would make nonsubstantive revisions to those requirements.",Section 400 of the Public Utilities Code is amended,400. The commission and the Energy Commission shall do all of the following in furtherance of meeting the state’s clean energy and pollution reduction objectives: (a) Take into account the use of distributed generation to the extent that it provides economic and environmental benefits in disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code,HSC,Program goals,Section 400 of the Public Utilities Code is amended,(g) (1) Establish a disadvantaged community advisory group consisting of representatives from disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code. The disadvantaged community advisory group shall review and provide advice on programs proposed to achieve clean energy and pollution reduction and determine whether those proposed programs will be effective and useful in disadvantaged communities.,HSC,"Program eligibility, Advisory role",Section 400 of the Public Utilities Code is amended,"(d) (1) Review technology incentive, research, development, deployment, and market facilitation programs overseen by the commission and the Energy Commission and make recommendations to advance state clean energy and pollution reduction objectives and provide benefits to disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code. (2) The Energy Commission shall review technology incentive, research, development, deployment, and market facilitation programs operating in California and overseen by academia and the private and nonprofit sectors, and make recommendations to advance state clean energy and pollution reduction objectives and provide benefits to disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code.",HSC,Program goals,,,,,,,,,,,,,,,,,,,,,,"Amending code to consider how DACs can receive economic and environmental benefits of clean energy and pollution reduction objectives from the state, and establish a DAC advisory group to provide advice on clean energy and pollution reduction programs"
AB-992,Cooley,2/18/2021,Enacted,,10/7/2021,"California Clean Truck, Bus, and Off-Road Vehicle and Equipment Technology Program.",Transportation: ZEV,This bill would specify that peer-to-peer truck sharing platform demonstration is eligible for funding under the program.,Section 39719.2 of the Health and Safety Code is amended,"The California Clean Truck, Bus, and Off-Road Vehicle and Equipment Technology Program is hereby created, to be administered by the state board in conjunction with the State Energy Resources Conservation and Development Commission. The program, from moneys appropriated from the fund for the purposes of the program, shall fund development, demonstration, precommercial pilot, and early commercial deployment of zero- and near-zero-emission truck, bus, and off-road vehicle and equipment technologies. Priority shall be given to projects benefiting disadvantaged communities pursuant to the requirements of Sections 39711 and 39713.",HSC,Program prioritization,Section 39719.2 of the Health and Safety Code is amended,(5) Implement purchase incentives for eligible technologies to increase the use of the cleanest vehicles in disadvantaged communities.,HSC by proxy,Program goals,Section 39719.2 of the Health and Safety Code is amended,"(e) In evaluating potential projects to be funded pursuant to this section, the state board shall give priority to projects that demonstrate one or more of the following characteristics:
(1) Benefit disadvantaged communities pursuant to Sections 39711 and 39713 or communities with a community emissions reduction program implemented pursuant to Section 44391.2.",HSC,Program prioritization,,,,,,,,,,,,,,,,,,,,,,"requires prioritization of DACs for deployment of projects with zero-emission vehicles, trucks, bus, etc"
AB-363,Medina,2/1/2021,Referred,"From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Com. on TRANS.",7/5/2021,Carl Moyer Memorial Air Quality Standards Attainment Program.,Transportation: ZEV,"This bill would require the state board, upon appropriation by the Legislature, to develop project grant criteria and guidelines for a new On-Road Heavy-Duty Vehicle Incentive Program (VIP2) that shall provide additional incentives for projects eligible for program funding that are deployed in disadvantaged communities, as defined. provided, and in low-income communities, as defined. The bill would authorize, for purposes of the VIP2, the state board to allow existing engines or existing vehicles, as defined, regardless of model year, and all on-road heavy-duty vehicle types, regardless of vehicle type or application, to participate in the VIP2, among other VIP2 components.",Section 44287.3 is added to the Health and Safety Code,"(a) The state board shall, upon appropriation by the Legislature, develop project grant criteria and guidelines for a new On-Road Heavy-Duty Vehicle Incentive Program (VIP2) that shall provide additional incentives for projects eligible for program funding that are deployed in disadvantaged communities, as identified by the California Environmental Protection Agency pursuant to Section 39711, and in low-income communities, as defined in paragraph (2) of subdivision (d) of Section 39713.",HSC,Program prioritization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New project grants criteria and guidelines for on-road heavy-duty vehicle incentive program with additional incentives for programs that happen in DACs
AB 943,Garcia,2/17/2021,"Amended out of the bill, Filed",From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,2/1/2022,California Global Warming Solutions Act of 2006: Greenhouse Gas Reduction Fund: competitive grant programs: funding objectives.,"Community development grants, Carbon emissions, Housing, Greening","This bill, beginning July 1, 2023, would require state agencies administering competitive grant programs that allocate moneys from the fund to give specified communities preferential points during grant application scoring for programs intended to improve air quality, to provide for a specified application timeline, and to allow applicants from the Counties of Imperial and San Diego to include daytime population numbers in grant applications.
This bill, for competitive grant programs that involve housing, urban forestry, urban greening, or planning and that allocate moneys from the fund after July 1, 2023, would require state agencies administering those moneys from the fund to develop at least 3 categories for applications based on the population and density of the communities in which the proposed project is to be located and to develop scoring criteria for each category.
This bill would additionally require the moneys in the fund to be used to facilitate the achievement of reductions of greenhouse gas emissions consistent with the act and, where applicable and to the extent feasible, to promote climate adaptation, accelerate the development of low-carbon technology and reduce vehicle miles traveled, and promote partnerships between jurisdictions and public agencies, Native American tribes in the state, nonprofits, and other community institutions, among other objectives.",Section 39712 of the Health and Safety Code is amended to read,"(b) Moneys shall be used to facilitate the achievement of reductions of greenhouse gas emissions in this state consistent with the California Global Warming Solutions Act of 2006 (Division 25.5 (commencing with Section 38500)) and, where applicable and to the extent feasible, shall:
....
(4) Direct investment toward the most disadvantaged communities, as identified pursuant to Section 39711, and disadvantaged households in the state.",HSC,Funding prioritization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This part was amended out: (8)Reduce or prevent increases in transportation, energy, or fuel costs, particularly in disadvantaged communities, as identified pursuant to Section 39711.","Bill outlines provisions for grant programs to give preferential points to applications working on air quality, housing, urban greeening, and other climate adaptation, with special priority for DACs"
SB 1329,"Introduced by Senator Newman
(Coauthors: Senators Archuleta, Dodd, Hertzberg, Hurtado, and Min)
(Coauthors: Assembly Members Cunningham, Flora, Gray, Grayson, Lackey, Mayes, Petrie-Norris, Quirk, Quirk-Silva, Rodriguez, Valladares, Villapudua, and Waldron)",2/18/2022,Held in Committee,Held in committee and under submission.,8/11/2022,Publicly available hydrogen-fueling stations: electric vehicle charging stations.,Transportation: ZEV,"This bill would delete the requirement that the state board aggregate and make available specified information and report to the commission on or before June 30, 2014. The bill would instead require the state board, on or before June 30, 2023, and annually thereafter, to determine the number of publicly available hydrogen-fueling stations that are necessary to provide a publicly available hydrogen-fueling station network, taking into consideration the state board’s 2020 Mobile Source Strategy and specified goals, recommendations, and data. The bill would delete the requirement that the commission allocate $20,000,000 annually to fund the number of publicly available hydrogen-fueling stations identified by the state board. The bill would instead require the commission to annually allocate from the moneys annually appropriated by the Legislature from the fund an amount determined appropriate by the commission to achieve the goal established by the state board of providing a publicly available hydrogen-fueling station network and to build the number of electric vehicle or “EV” charging stations estimated by the commission its biennial statewide assessment of electric vehicle charging infrastructure, as provided. The bill would require the commission to ensure that certain requirements are met regarding expenditures of the moneys allocated by the commission. The bill would require the commission and the state board, as part of their annual joint review and report, to determine the remaining cost and timing to establish a network of 200 statewide publicly available hydrogen-fueling stations, instead of 100 stations.",Section 43018.9 of the Health and Safety Code is amended,"(3) The commission shall allocate no less than 60 percent of the moneys allocated pursuant to subparagraph (A) of paragraph (1) toward publicly available hydrogen-fueling station projects that completely or partially benefit disadvantaged communities, as identified by the California Environmental Protection Agency pursuant to Section 39711, or low-income communities as defined in Section 39713.",HSC,"Funding prioritization, Program prioritization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Requires CARB to determine how many public hyrdrogen-fuieling stations are needed for a publicly available network and allocate funding for the newtork, including building, with at least 60% funding going toward projects that completely or partially benefit DACs"
AB 96,"Introduced by Assembly Member O’Donnell
(Coauthors: Assembly Members Daly, Gipson, and Medina)",12/7/2020,Filed,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,2/1/2022,"California Clean Truck, Bus, and Off-Road Vehicle and Equipment Technology Program.",Transportation: ZEV,"This bill would extend the requirement that 20% of funding be made available to support early commercial deployment of existing zero- and near-zero-emission heavy-duty truck technology until December 31, 2026. The bill would further require at least 20% of that funding support early commercial deployment of existing near-zero-emission heavy-duty truck technology. The bill would define “near-zero-emission heavy-duty truck” and revise the definition for “zero-emission,” as provided.","Section 39719.2 of the Health and Safety Code, as amended by Section 1 of Chapter 100 of the Statutes of 2020, is amended ","(a) The California Clean Truck, Bus, and Off-Road Vehicle and Equipment Technology Program is hereby created, to be administered by the state board in conjunction with the State Energy Resources Conservation and Development Commission. The program, from moneys appropriated from the fund for the purposes of the program, shall fund development, demonstration, precommercial pilot, and early commercial deployment of zero- and near-zero-emission truck, bus, and off-road vehicle and equipment technologies. Priority shall be given to projects benefiting disadvantaged communities pursuant to the requirements of Sections 39711 and 39713.... (e) In evaluating potential projects to be funded pursuant to this section, the state board shall give priority to projects that demonstrate one or more of the following characteristics:
(1) Benefit disadvantaged communities pursuant to Sections 39711 and 39713 or communities with a community emissions reduction program implemented pursuant to Section 44391.2.",HSC,"Funding prioritization, Program prioritization","Section 39719.2 of the Health and Safety Code, as amended by Section 1 of Chapter 100 of the Statutes of 2020, is amended ","(e) In evaluating potential projects to be funded pursuant to this section, the state board shall give priority to projects that demonstrate one or more of the following characteristics:
(1) Benefit disadvantaged communities pursuant to Sections 39711 and 39713 or communities with a community emissions reduction program implemented pursuant to Section 44391.2.",HSC,Program prioritization,"Section 39719.2 of the Health and Safety Code, as amended by Section 1 of Chapter 100 of the Statutes of 2020, is amended ",(5) Implement purchase incentives for eligible technologies to increase the use of the cleanest vehicles in disadvantaged communities.,HSC by proxy,Program goals,,,,,,,,,,,,,,,,,,,,,older version of AB 992,
